-228,-48,-232,15,-22,1013,700,-420,-280,23,-72,1004,479434
-228,-48,-232,15,-22,1013,700,-420,-280,29,-65,1005,479440
-222,-58,-232,6,-17,1011,700,-210,-210,29,-65,1005,479446
-219,-55,-232,7,-20,1007,700,-210,-280,26,-65,993,479452
-219,-55,-232,7,-20,1007,700,-210,-280,23,-71,999,479458
-232,-55,-229,13,-22,1009,630,-280,-280,23,-71,999,479464
-232,-55,-229,13,-22,1009,630,-280,-210,29,-69,999,479470
-229,-63,-228,12,-17,1011,700,-280,-210,29,-69,999,479476
-228,-54,-235,9,-13,1011,700,-280,-210,34,-67,1000,479482
-228,-54,-235,9,-13,1011,700,-280,-210,33,-72,1003,479488
-231,-58,-225,13,-15,1012,700,-210,-210,33,-72,1003,479494
-231,-58,-225,13,-16,1011,700,-280,-280,32,-70,1006,479500
-222,-48,-231,11,-16,1011,700,-280,-280,32,-70,1006,479506
-229,-55,-235,10,-17,1010,700,-280,-280,32,-68,997,479512
-229,-55,-235,10,-17,1010,700,-280,-280,29,-69,999,479518
-226,-52,-229,11,-18,1010,700,-280,-280,29,-69,999,479524
-226,-52,-229,10,-18,1011,630,-280,-210,30,-67,999,479530
-225,-49,-229,10,-18,1011,630,-280,-210,30,-67,999,479536
-225,-66,-234,11,-19,1011,700,-350,-210,29,-69,1002,479542
-231,-66,-234,11,-19,1011,700,-280,-280,29,-69,1000,479548
-222,-54,-226,11,-17,1011,700,-280,-280,29,-69,1000,479554
-222,-54,-226,10,-17,1010,700,-280,-210,29,-70,1000,479560
-228,-61,-228,10,-17,1010,700,-280,-210,29,-70,997,479566
-228,-54,-235,11,-17,1010,700,-280,-210,29,-70,997,479572
-222,-54,-235,11,-16,1010,700,-350,-210,30,-70,1000,479578
-234,-54,-234,11,-16,1010,700,-350,-210,30,-70,1000,479584
-234,-54,-234,11,-16,1010,630,-280,-210,29,-69,999,479590
-234,-57,-240,11,-16,1010,630,-280,-210,29,-69,1002,479596
-234,-57,-226,10,-16,1010,700,-280,-280,29,-71,1002,479602
